address,quantity,collection,expiration_timestamp
0x6107eb26e38827414ef556daef88e03f0f257588fa812dc976a6678efe54d73,21,zkube_sepolia_second_playtest,1732804701758
0x236f731decce33f914a5cf93f08aaa39e706a13bdb2c71b78dda28134d2594c,9,zkube_sepolia_second_playtest,1732804701758
0x2e2f3a3bef2726e30cbe5c4732135930c7768f82deb75de52eeccdce5c1db3d,9,zkube_sepolia_second_playtest,1732804701758
0x29a092d0810ef4ad66075753c453d29e7ee3c714bf81fbb8130ffe0412fdd96,7,zkube_sepolia_second_playtest,1732804701758
0x1702fe99d6f7bb8803a741e29f594fdaf91bad68f56803677cf30045d66ab47,5,zkube_sepolia_second_playtest,1732804701758
0xa2621ff2b0317ac99b881541b96aa75a7e118901b45025aad22a23633cccbe,5,zkube_sepolia_second_playtest,1732804701758
0x48cd209ee4c48d81301ff0e065a6e110f700e79c6b51cfc9db9e945f41c03d,4,zkube_sepolia_second_playtest,1732804701758
0x6ac628e79fe514b1c532e637d9da42dc7e70ed6a1d02f4c39e804f19c6efb9c,4,zkube_sepolia_second_playtest,1732804701758
0x56044e915cf9ce329397d3eaf71be32ed04cf848e4aa124ce1b0fce12fc616f,4,zkube_sepolia_second_playtest,1732804701758
0x1ee2a74d736883dad245742634a97e9e90069d79a7d73cf74675e7afb2f2fb1,4,zkube_sepolia_second_playtest,1732804701758
0x3fb7cf846341b9553a07f9d79686840f49cc56675bcba8197901d2363f715eb,3,zkube_sepolia_second_playtest,1732804701758
0x248d31da0fe0d62da557e03a9ac142b3086efb669a08bb9998edbee5c951caa,3,zkube_sepolia_second_playtest,1732804701758
0x26c5d6dbec4f1f82625b5ade8bc66d8305a1855222fdf3e68d62b5e7b05c547,3,zkube_sepolia_second_playtest,1732804701758
0x635862ac9434f6141a1505dc4dc322b38f7886215a8c062757d8306e77ee5c1,3,zkube_sepolia_second_playtest,1732804701758
0xaed4c3ce9c80ec0a241c865ae1c16372e6d8fe2ab6d86e22728b826cf183c8,3,zkube_sepolia_second_playtest,1732804701758
0x64ddad9fe5afcc8ee556648c3907cecf3f0c078f0c0b085085b64c37d337684,3,zkube_sepolia_second_playtest,1732804701758
0x422df28c194eb777fab20634fba39e366929754f0606823692643f34d530163,3,zkube_sepolia_second_playtest,1732804701758
0x2e6be9138e1aff6f95c57bb54d57388f79dccdae9f96b59f7c751e992b89f7e,3,zkube_sepolia_second_playtest,1732804701758
0x2e9cc65e39466085c14fdbcbf1e36461e89f12fd01fc9045a94d5196d5a1165,3,zkube_sepolia_second_playtest,1732804701758
0x1f7d55a6a12315956f63b67ef8fa9861165c10d385058e9a01b1123d9c993a8,3,zkube_sepolia_second_playtest,1732804701758
0x67c9a2f341e8fbe9f1b1635ba6262c53173258deb08b7f922933f4db8021b4f,3,zkube_sepolia_second_playtest,1732804701758
0x5035e649179b24e024aee23bc332e2fbe791ab3dc6efa630da709b769a04a95,3,zkube_sepolia_second_playtest,1732804701758
0x70aacb0c908f2c82f28bbff4da0fde0206ef9c3c2db52857342a8f8cb1f561,3,zkube_sepolia_second_playtest,1732804701758
0x6cf00b54b71c644cdee82050ea7a9af7b07c79a62ec54ed0b46479f8451e14a,2,zkube_sepolia_second_playtest,1732804701758
