address,quantity,collection,expiration_timestamp
0x0213c67ed78bc280887234fe5ed5e77272465317978ae86c25a71531d9332a2d,"131,837,662.741220704386320272 STRK",alf,1733656851
0x076601136372fcdbbd914eea797082f7504f828e122288ad45748b0c8b0c9696,"97,427,555.121801809900366152 STRK",alf,1733656851
0x01f78042ca65d29145ba4f54cf0c0631c1f5933c48648beb18e062e31ad642c1,"92,799,979.0591678755 STRK",alf,1733656851
0x059a943ca214c10234b9a3b61c558ac20c005127d183b86a99a8f3c60a08b4ff,"62,677,650.784984775670514073 STRK",alf,1733656851
0x00ca1702e64c81d9a07b86bd2c540188d92a2c73cf5cc0e508d949015e7e84a7,"58,047,312.284024367939512526 STRK",alf,1733656851
0x02a67f5ab24f4354755dbc4ab684ba6d5c1520ea45aad99f4e7a9f996ced075d,"42,714,621.982642469832790425 STRK",alf,1733656851
0x0620102ea610be8518125cf2de850d0c4f5d0c5d81f969cff666fb53b05042d2,"28,591,848.766756407298003284 STRK",alf,1733656851
0x0480eeffbc7f47d92e72fa330883c17f6fb34f109c0d6ccc6aaebb88ea393071,"20,021,565.907100376904932017 STRK",alf,1733656851
0x053c99890b560cf41fb4c34b5d45abc918f85782d43c3f5d46ed845c67df350d,"14,109,999.353099870935265883 STRK",alf,1733656851
0x04c0a5193d58f74fbace4b74dcf65481e734ed1714121bdc571da345540efa05,"13,850,147.998749217000121318 STRK",alf,1733656851
0x0782f0ddca11d9950bc3220e35ac82cf868778edb67a5e58b39838544bc4cd0f,"13,734,915.027148035287410836 STRK",alf,1733656851
0x069a7818562b608ce8c5d0039e7f6d1c6ee55f36978f633b151858d85c022d2f,"13,323,241.802402154120103492 STRK",alf,1733656851
0x00e91830f84747f37692127b20d4e4f9b96482b1007592fee1d7c0136ee60e6d,"11,141,055.539866853335900382 STRK",alf,1733656851
0x07dddb7d3a1321a854691e736f951704deaf33bde78c49a32e9e7e8e8a1e9537,"10,087,908.559445428332991901 STRK",alf,1733656851
0x03c391143fbe7549cc64d9774e3de041486cdaec62439ed35150a9b602a9216b,"9,873,416.491860981137155178 STRK",alf,1733656851
0x03c044f3e31afd0552c66acc7fdc17645bd2f343fe7c9380b331d62279f00d57,"9,390,504.10572688530371274 STRK",alf,1733656851
0x071e0d66ef793fde5b311e9bdf1d718aed840420f90b6ae71e88902a551b36b9,"9,325,009.865478479901642038 STRK",alf,1733656851
0x05ecca639eac1c9ff2b43416a92c9012da576bd55e2464ee49792afecb1ebad0,"8,919,204.353540058698697703 STRK",alf,1733656851
0x00000005dd3d2f4429af886cd1a3b08289dbcea99a294197e9eb43b0e0325b4b,"7,962,501.891708172146016236 STRK",alf,1733656851
0x079006e4c29e5551f9386369cdafae6bbfea6f4ce731e12a859b29320257f566,"7,592,259.556362114142617225 STRK",alf,1733656851
0x069a62bdc4652444f41cdfab856b60e3a0907542cda46c9844fedc08699ef983,"7,000,000 STRK",alf,1733656851
0x077a253718dda2651e03ddf62690efaa4af5f7bd0b17216173e1d7d3cd04aa0d,"6,799,990 STRK",alf,1733656851
0x01d11a4c347805cd43f7ac62336f95edefa56cdd1d39c5d202e2d58e9b9dc2a8,"6,646,999.0203 STRK",alf,1733656851
0x046caf07979fbaa8809d326080545269b8d483d72ddcc366e0c0d26960527676,"6,438,234.993504941499055361 STRK",alf,1733656851
0x02545b2e5d519fc230e9cd781046d3a64e092114f07e44771e0d719d148725ef,"6,295,502.291988066492675067 STRK",alf,1733656851
0x01a2de9f2895ac4e6cb80c11ecc07ce8062a4ae883f64cb2b1dc6724b85e897d,"6,071,792.186095283266863753 STRK",alf,1733656851
0x03efcc03349e110de18937ec2bff72e0bb9c8d545ccfdf6befb428f9aebcdcdf,"5,669,357.617242300236412115 STRK",alf,1733656851
0x025c3ebe94f55ea8eb289cb34844f2630551bd198d9915c91dcd661a90a1dc1e,"5,017,907.5667321458 STRK",alf,1733656851
0x01f2a143f44a392f2783a431da0fb0b06fae8bbf22614d31f6d005815c00710e,"4,166,667.428370738797482409 STRK",alf,1733656851
0x042543c7d220465bd3f8f42314b51f4f3a61d58de3770523b281da61dbf27c8a,"3,574,245.146388346243642256 STRK",alf,1733656851
0x07da09477e914c12e36ab6dc0bc63ad9e516400e54817104b2964f9751329930,"3,511,942.550861826428230685 STRK",alf,1733656851
0x0478f278e41a41d9da76f0d7cbc01c89c60a891b6306d3ca0f5471f1db6e9ca1,"3,169,362.862406275042937526 STRK",alf,1733656851
0x0429e35989b16f904032e63fdd6ff05a64ae88eb8d9adaa26fc4309769dc08c5,"3,080,668.420917201695534113 STRK",alf,1733656851
0x04619e9ce4109590219c5263787050726be63382148538f3f936c22aa87d2fc2,"2,676,891.048313330293431576 STRK",alf,1733656851
0x0057e5e4bcd33917eff1c9af25f53690ceb40082e26a8ad0a5cd9c5d82cfa401,"2,586,264.072068265000806058 STRK",alf,1733656851
0x079fb44ca919ea5581da80d57538fa896a8591cf4ed4d441c7f408c89f0889bc,"2,541,902.225433958645338341 STRK",alf,1733656851
0x0299b9008e2d3fa88de6d06781fc9f32f601b2626cb0efa8e8c19f2b17837ed1,"2,349,941.535010518644 STRK",alf,1733656851
0x044716d416ff66f83a4c3ac811d713cf256017f6906d3412b976ae1f4f35af36,"2,000,815.837286708382484076 STRK",alf,1733656851
0x03a72cb0b88d0182aeaf1ce486fb7565953425c4543cbad75c795b53afe56c31,"1,508,089.937782602709287084 STRK",alf,1733656851
0x0269ea391a9c99cb6cee43ff589169f547cbc48d7554fdfbbfa7f97f516da700,"1,490,862.587532358 STRK",alf,1733656851
0x038f2d2759aff91584d696344a32b2352caffb7e57cd6dacc9b1a0ff992f06c7,"1,357,224.100016119035796489 STRK",alf,1733656851
0x00087390c688a36f26e7768e12ab5031f2bd08ddd6b64c457414c4d593c35b41,"1,318,443.0419276 STRK",alf,1733656851
0x009035556d1ee136e7722ae4e78f92828553a45eed3bc9b2aba90788ec2ca112,"1,247,431.399442400820452287 STRK",alf,1733656851
0x04d549e3a9f052ad1da7761860d04d1a7bdc287b35ec55beb34be6a660aa1170,"1,110,533.609173010743661101 STRK",alf,1733656851
0x0117fbcc295308ae1e028e56720f9cb9e43826dab66a455ec238767c74fbfd57,"1,043,836.510794483632625776 STRK",alf,1733656851
0x0331aa5452c1b666304dfcbea3042641db9f63f9e9164969fd45d65220a55fa8,"1,014,455.768702017184928493 STRK",alf,1733656851
0x053499f7aa2706395060fe72d00388803fb2dcc111429891ad7b2d9dcea29acd,"993,137.948647615152332185 STRK",alf,1733656851
0x038598ae03034db76d8f2c3603e97a917a7464077577855e23a35dec5d12803c,"953,796.487098645317648643 STRK",alf,1733656851
0x0407b04860e1d2c7aabe3205da2b21cb0e3b75b731faa238151f74539dd17701,"950,000 STRK",alf,1733656851
0x012438dc4f6d7124c80756a8993b9c3274a7a2873c07ccb392f20356b8c71483,"910,611.81757821 STRK",alf,1733656851
0x0427c1be7fbcf425ddd5e8ebbebfb27b19d43e6c37f1f899635474884313ce01,"850,587.13447494134751289 STRK",alf,1733656851
0x00fb108ed29e1b5d82bb61a39a15bbab410543818bf7df9be3c0f5dd0d612cf3,"800,297.3016465809122726 STRK",alf,1733656851
