address,quantity,collection,expiration_timestamp
0x00992acf50dba66f87d8cafffbbc3cdbbec5f8f514b5014f6d4d75e6b8789153,"4,654,563.401296305707602528 LORDS",lords,1733580560
0x047230028629128ac5bfbb384d32f925e70e329b624fc5d82e9c60f5746795cd,"4,452,884.152270867526684434 LORDS",lords,1733580560
0x00000005dd3d2f4429af886cd1a3b08289dbcea99a294197e9eb43b0e0325b4b,"4,434,371.51279503196330525 LORDS",lords,1733580560
0x059a943ca214c10234b9a3b61c558ac20c005127d183b86a99a8f3c60a08b4ff,"2,752,216.229519684420673223 LORDS",lords,1733580560
0x07154c94d30afe179aef248d2458a86e229107d4a5a3036f8e1b87b53d42a6f7,"2,572,479.379877299003512072 LORDS",lords,1733580560
0x03a72a0aedd972966d9bc8a83ec76d792120bdf2d4c1400b0517ca89687ece74,"2,000,000 LORDS",lords,1733580560
0x021954fe23e17ad9bbdbeaf5fedee51226b4d00e200167a4249d4884f1bfb4f2,"1,707,035.641769189986098982 LORDS",lords,1733580560
0x07607fc01d30e97a28b210ffca06f18fb829622802e2501b133cd70f09b44dbc,"1,594,213.683270797050828831 LORDS",lords,1733580560
0x07268dc6a41bb4ae693fc38587b99477812e8d4c979a482988ba4115d1d5ed59,"1,452,716 LORDS",lords,1733580560
0x07333491db9ef2c1fdd6c4f9f336826bbb6fda2b5a1628fbc679b68fa30e20f3,"1,138,974.236193861463325134 LORDS",lords,1733580560
0x03ffa42fa45c555f98435579ef79e648dad499a325e20cceb65d440b7f608d29,"1,133,642.429720193450448047 LORDS",lords,1733580560
0x02f7ccea65176b393349e83e07b6225d3c014de4a666ad0340c7375361be0874,"1,002,282.761959704737011713 LORDS",lords,1733580560
0x01f02a2244ffc98ecbaeb4265e59c6d92ce65a0682a5645d77a1d070a8d32a3e,"923,389.164242672565222666 LORDS",lords,1733580560
0x042e4be5fb46f66baa890a6e92e29b294817651d51453c3f1b2e722d2f857c34,"799,116 LORDS",lords,1733580560
0x013760bfe4f990f3a71d39f7c3e3e57ba4a8903f5d8b0a5285285fbb55fbbd78,"752,526.250937998172076095 LORDS",lords,1733580560
0x05788d5c3e79f7393f511b953264271e1d2ee27c5b0d3d2358f791488574ef19,"597,350.608510247841490372 LORDS",lords,1733580560
0x06859fb86262499034ed068c53a8d63676e2fca049b220a60abb002f589f128f,"541,537.983259250904474069 LORDS",lords,1733580560
0x0330df66661b6166b1df80c81caeae776ea82ce5e034ae0497a1953d0baa8208,"500,000 LORDS",lords,1733580560
0x0045dd3294e1517d14967589db75e70f4a8e81b41175e1220a93952c6b91dacb,"500,000 LORDS",lords,1733580560
0x056e165a9da053cf1ae6a46b20521b0e5ce091385e38d35300c85c196aa13766,"453,508.881750560459334485 LORDS",lords,1733580560
0x050302dafc5c3f9cb6c2893a20812a653a3c9fe3dcd74a0a00780cf49d4850c9,"440,030.654085458780560546 LORDS",lords,1733580560
0x0316ebfc04bfa9458bd723c05343d37c17f149ab9d0d664f0390b43768ce4460,"394,347.460381944368540506 LORDS",lords,1733580560
0x03215a4ea12b068b9451221faa3be0d4fe0b467ae845b32b4d2acecd62198ea0,"353,350.225080448008703143 LORDS",lords,1733580560
0x0116dc42c0112d70c747fea0289f065f99d87b48d8aeceacea361d99b741824c,"353,304 LORDS",lords,1733580560
0x001e220c4ac08b2f247d45721e08af1b2d8d65b640cea780534c8f20dc6ea981,"340,013.616663222740311442 LORDS",lords,1733580560
0x049fb4281d13e1f5f488540cd051e1507149e99cc2e22635101041ec5e4e4557,"331,457.075771119339250227 LORDS",lords,1733580560
0x056d279acbc4fbdd1c07f5268d67834d54f2b146fca6089d0993a990e1fed5f3,"297,840.172122520818864602 LORDS",lords,1733580560
0x01858fbb1556211e218b9ab00df8f2e9a854fc061fce521a28ac6d84e07b6a42,"277,886.564046878332148857 LORDS",lords,1733580560
0x054b69d9f4d8c613f0ee5b9247eb654f23e01e91a672f376cdbc79883c8d9d22,"250,209.676272009933450335 LORDS",lords,1733580560
0x02cd97240db3f679de98a729ae91eb996cab9fd92a9a578df11a72f49be1c356,"249,631.814602330224328247 LORDS",lords,1733580560
0x062858b54a82e31b6a62b853d004214c794ab73f30379a649f1c1878206486f0,"234,125.12308582308312926 LORDS",lords,1733580560
0x04649766c7c55a0ca90f18b8c6a20f990e77de5a5c65e369c75a001668f6726c,"233,585 LORDS",lords,1733580560
0x0335940e1e7a8f899653f28caef855dc3cfcb5ced7f87f31e22ec62ab37d5de8,"221,963.825127684286723257 LORDS",lords,1733580560
0x07266c8d2cf45ecba9221e7691f80fb3e6c4ff30b09f6a3a1097341a2f3f14de,"221,004.982867853031109373 LORDS",lords,1733580560
0x058b7f0fb04a92ca37c64a3d0dff5ecba0bdcdf4d65cb8796ffff0d32bd4508e,"210,282.410618351864948301 LORDS",lords,1733580560
0x02c2d509793bff9ffcdbebef4d556eb7c43f88a0cbb7225affdd5ac4ef62afac,"206,573.380342470419043024 LORDS",lords,1733580560
0x040199f68dc47419aea94f599691b9846606c2344b8a3368462d4395436f8832,"202,168.502561419714243739 LORDS",lords,1733580560
0x00f3d71411cc9426763e5710b49bf588bf093b9526941da1c35d83029121fe9e,"201,735.116653872891506759 LORDS",lords,1733580560
