address,quantity,collection,expiration_timestamp
0x00000005dd3d2f4429af886cd1a3b08289dbcea99a294197e9eb43b0e0325b4b,"111,032,188,317,570.898258941352873808 BROTHER",brother,1733579287
0x069349caec247e9b90d0460159bb9169ac5317e5b644fb5e0ff8ad4606ef84c2,"24,233,738,497,285.179838756547963884 BROTHER",brother,1733579287
0x045b6ce97690e98dee1ff6d0c3ad7e90640ca4b7bf7dad9b3217019bc866cc17,"12,886,642,111,679.44475093070474128 BROTHER",brother,1733579287
0x00af4663765870e2c0108d7d72bb95c17d43f4ec0a85dcd6ace3e6811738d0c4,"11,607,273,581,990.434812046751309093 BROTHER",brother,1733579287
0x038d45398c4e072f5701003a12a1283676e09ad99e6c8ac300edd268f31c1e57,"11,552,502,879,278.932256585949116051 BROTHER",brother,1733579287
0x078c091b118b4b87126c8bd5d607e1b708fb06232ac53ba73183f7150d979c4b,"11,515,819,194,664.483887149728090052 BROTHER",brother,1733579287
0x022e0661c42e91c158ea8e286a9ddc7e4fc07ebd5eefd81a38865a4309b73f96,"10,934,868,508,807.909062754269323409 BROTHER",brother,1733579287
0x03add4757fbe7b089264d2da328e8de5e68a49d677174165664f042c82a34799,"10,027,619,317,379.73280438489562134 BROTHER",brother,1733579287
0x056314da1ad1385300b8457d1a1dc71646f0dfa44e2766e7783746e69fb02fdc,"10,000,780,513,052.317019488336510706 BROTHER",brother,1733579287
0x0598ef37c6159ac62ea321367dc4766c1b703e2f5ae50e2235179dbdda8515e3,"9,999,408,190,752.352832390958662842 BROTHER",brother,1733579287
0x02112fc9b09b2fec4f2ef0b598fb826e114a0a55cf1f2dd20656e2f5c2df5567,"9,583,415,488,309.511957568592230051 BROTHER",brother,1733579287
0x03d3a3e1cc0799f5f96937e27968ef37b142f22ceb410f2f55b19327dc854c8d,"9,571,157,859,126.178019028667120688 BROTHER",brother,1733579287
0x06fa9b79eb5d0f3f507e66f261a1f9065e6644982daa285007924313d4239140,"9,377,762,099,944.966988177144029032 BROTHER",brother,1733579287
0x05282ce388993c238adb2bf0b8c4fa2577fd0fac2302a1728032c5110abf54d0,"9,310,000,800,000 BROTHER",brother,1733579287
0x02ee2609317db6fd41f97c53309857eaf40692f677b1e53f86f1f80739d4efe4,"8,888,888,888,888 BROTHER",brother,1733579287
0x071049fda33a91105660700e4b71c290e0e96e250ca20d69c570ab78506e8843,"8,882,908,482,112.170685128425030777 BROTHER",brother,1733579287
0x01ab8f82ad5e57cf01ef8b831ce340ac5b2aff179c28653f37cb45cbdc904b56,"8,004,199,999,500 BROTHER",brother,1733579287
0x07bafc7158b8ccbc65b907418ebbf42c390ef2fbbe7c8d6e75a4de0c6dec81c4,"7,920,670,795,997.807084052606139794 BROTHER",brother,1733579287
0x003c9ab7e7a5b430e1bcaf211a87ba4ee0ff0cac342b1895477a9f235d2c6723,"7,880,336,096,904.352080446029723458 BROTHER",brother,1733579287
0x01f17f08018f91e5718769d5eb1c92696c39daffb2dc2ec8701b8758ded318f7,"7,583,620,828,887.949332610387213012 BROTHER",brother,1733579287
0x050302dafc5c3f9cb6c2893a20812a653a3c9fe3dcd74a0a00780cf49d4850c9,"7,029,372,797,534.685661630706902268 BROTHER",brother,1733579287
0x03acc0b37af69bc5daf8bd764e80629f8351f1739b3e44e54b0efa01b71a3927,"6,982,947,911,369 BROTHER",brother,1733579287
0x0631bb8361e46da8723a90947a013ba8e7478882c84e85dc99ee16f0f845ecf0,"6,831,533,510,196 BROTHER",brother,1733579287
0x0147b941bec50a2b497eb1bd966cf36e33ad3da7e508ebd5ea994978fa5be5a6,"6,800,304,471,158.031373843998470453 BROTHER",brother,1733579287
0x07f07f57ecb850cdc34658d8632cc5e4284e9a589fd7df59222afcc64196f43a,"6,800,000,000,000 BROTHER",brother,1733579287
0x059de50cfc5861417ad8659a06a0183fab0862221cfcba6cea31e29d410d3722,"6,478,826,601,297.168090798869410863 BROTHER",brother,1733579287
0x0437f0c46545db400f40fffdbc8a34090c506d1a1bb25aeb500cc3c884c94e54,"6,385,952,762,476.387849161676731723 BROTHER",brother,1733579287
0x07940ea99bd55d002dadb16ce76864b5d2357b941cb16ecfa0f2987760af8dcf,"6,358,259,630,211.365664038036216711 BROTHER",brother,1733579287
0x0421160ed267240f55a6f94a2c05d384abcf67bb677d14b2421ef55dc8120472,"6,168,598,799,639.802547172970835519 BROTHER",brother,1733579287
0x008243d5d21301b769edca07f4544b32843bbbe5fffa9cb247fb15489f645272,"6,124,563,611,992.470772211608534345 BROTHER",brother,1733579287
0x03098195840a963ec8aa2276d0ccef3ab76f0cfd3bd32715d10623a58216def3,"6,100,500,300,060 BROTHER",brother,1733579287
0x01d6e3b4be6d503185bee4ea7be853adc24fd6cd12c0a25010e0aec491e6218c,"6,099,500,006,995 BROTHER",brother,1733579287
0x003a095049fba9b6bbf52fefc05379f5c6410a154367194dd05fe05a928cfcb9,"6,051,299,113,500 BROTHER",brother,1733579287
0x0409ffc4b70a1d29c5447a1879b66ea7af8072a6051876bc32168cb1c35d169e,"6,032,947,864,923.746668335897435907 BROTHER",brother,1733579287
0x01c33108281158607e5264c83e11c2ad9585f1215f0349a841320a5f2a9777ef,"5,950,214,644,914.488659322103476809 BROTHER",brother,1733579287
0x0788c1a5c24cd43aaea00758d16ef2981dafc87e81cff7c1739d259e28149783,"5,899,499,699,940 BROTHER",brother,1733579287
0x061211ca9dba9f0c2418d74e06ee8c5d23aa11b29944c309fd1d95cdccb34698,"5,574,676,734,728.248224785907513409 BROTHER",brother,1733579287
0x036e6cdec2caa5dbfd3335c4885ec61bff09992c8763e3dadb46a6c38f10f89e,"5,381,851,050,460.526578426334805373 BROTHER",brother,1733579287
